iter	Logloss
0	0.6811705087
1	0.6704410248
2	0.660120304
3	0.6504652158
4	0.6408667016
5	0.6313333925
6	0.6232760108
7	0.6163176992
8	0.6083754984
9	0.6022824117
10	0.5961117103
11	0.5897495945
12	0.5846680202
13	0.5798635378
14	0.575318391
15	0.5706489685
16	0.5666490858
17	0.5622151779
18	0.5584831793
19	0.5550400449
20	0.5513092539
21	0.5489770872
22	0.5457076583
23	0.5430360071
24	0.5408685356
25	0.5379835512
26	0.5351052127
27	0.5329989852
28	0.5307551491
29	0.5283555822
30	0.5265875957
31	0.5244376333
32	0.5223012768
33	0.5203949375
34	0.5183107208
35	0.5165510037
36	0.5150084842
37	0.5132738997
38	0.5119604342
39	0.5108206218
40	0.5100148847
41	0.5088705798
42	0.5079618319
43	0.5070072768
44	0.5055452444
45	0.5048024515
46	0.5037480347
47	0.5029462477
48	0.5018856563
49	0.5009239416
50	0.5001850047
51	0.4993903422
52	0.4986385868
53	0.4978968873
54	0.4974267002
55	0.4968244796
56	0.4962391437
57	0.4957968151
58	0.4947313582
59	0.4943196574
60	0.493670494
61	0.4929961606
62	0.4921756874
63	0.4912490147
64	0.4905555148
65	0.4898880116
66	0.4892477908
67	0.4891253113
68	0.4885330747
69	0.4880735725
70	0.4875861886
71	0.4873804939
72	0.4869929121
73	0.4864340617
74	0.4861812478
75	0.4856906583
76	0.485303047
77	0.4849790183
78	0.4846002749
79	0.4841881949
80	0.4837369554
81	0.4836574992
82	0.4833558138
83	0.4829001546
84	0.4825627266
85	0.4822242359
86	0.4819496477
87	0.4816732478
88	0.4812818619
89	0.4809607198
90	0.4808848968
91	0.4805262221
92	0.4803365993
93	0.4802680627
94	0.4800348545
95	0.4794995391
96	0.479157834
97	0.4791005843
98	0.4789829338
99	0.4787326302
100	0.4784239414
101	0.4779228915
102	0.4776399237
103	0.477503958
104	0.4771744462
105	0.4771030702
106	0.4767282849
107	0.4764095628
108	0.4762326783
109	0.4760747283
110	0.4759315411
111	0.475653464
112	0.475413011
113	0.4753224471
114	0.4750800233
115	0.4747488368
116	0.4746999235
117	0.4743806549
118	0.4742162237
119	0.4741829433
120	0.4740291345
121	0.4738087323
122	0.4735077045
123	0.4734579367
124	0.4733050066
125	0.4730689599
126	0.4729156128
127	0.4727551061
128	0.4725111554
129	0.4723577132
130	0.4720134362
131	0.4718285396
132	0.4715285044
133	0.4711899048
134	0.4711407979
135	0.4708810415
136	0.4706963347
137	0.4706141865
138	0.4705593918
139	0.4703543892
140	0.4703363059
141	0.4702071128
142	0.4702066537
143	0.4700104271
144	0.4699962109
145	0.4698563866
146	0.4698216997
147	0.4697412271
148	0.4697271755
149	0.4696357087
150	0.4694128438
151	0.4692717156
