iter	Passed	Remaining
0	31	18941
1	75	22600
2	117	23429
3	153	22877
4	188	22430
5	228	22612
6	266	22553
7	308	22799
8	346	22748
9	387	22869
10	430	23030
11	471	23080
12	510	23049
13	546	22887
14	589	22990
15	636	23241
16	684	23474
17	774	25037
18	827	25295
19	867	25152
20	932	25708
21	979	25730
22	1021	25637
23	1085	26041
24	1136	26149
25	1181	26093
26	1226	26020
27	1270	25947
28	1307	25750
29	1344	25546
30	1381	25355
31	1429	25377
32	1471	25287
33	1503	25033
34	1536	24803
35	1575	24682
36	1611	24526
37	1650	24409
38	1686	24253
39	1726	24172
40	1753	23910
41	1786	23731
42	1821	23598
43	1857	23477
44	1897	23405
45	1931	23257
46	1965	23129
47	2003	23040
48	2043	22975
49	2088	22970
50	2123	22863
51	2158	22748
52	2195	22654
53	2227	22518
54	2256	22356
55	2295	22297
56	2329	22194
57	2362	22080
58	2402	22025
59	2450	22056
60	2491	22011
61	2528	21940
62	2570	21910
63	2611	21871
64	2649	21809
65	2692	21780
66	2730	21721
67	2752	21532
68	2790	21478
69	2826	21403
70	2872	21402
71	2917	21394
72	2961	21380
73	2999	21318
74	3024	21173
75	3059	21093
76	3100	21056
77	3142	21028
78	3181	20981
79	3217	20916
80	3253	20844
81	3271	20663
82	3314	20648
83	3359	20635
84	3399	20596
85	3433	20523
86	3471	20467
87	3505	20396
88	3542	20339
89	3581	20293
90	3606	20173
91	3649	20151
92	3685	20090
93	3728	20068
94	3766	20023
95	3807	19991
96	3848	19957
97	3866	19806
98	3900	19739
99	3937	19689
100	3979	19660
101	4019	19626
102	4056	19574
103	4098	19547
104	4134	19491
105	4155	19364
106	4194	19326
107	4232	19283
108	4273	19249
109	4312	19209
110	4339	19119
111	4384	19103
112	4424	19066
113	4452	18980
114	4489	18934
115	4531	18907
116	4563	18839
117	4611	18838
118	4648	18788
119	4665	18660
120	4702	18617
121	4742	18581
122	4779	18534
123	4816	18490
124	4862	18478
125	4906	18457
126	4946	18420
127	4976	18350
128	5011	18297
129	5057	18283
130	5107	18287
131	5151	18266
132	5202	18266
133	5251	18264
134	5314	18304
135	5351	18258
136	5387	18205
137	5421	18149
138	5452	18082
139	5492	18045
140	5530	18002
141	5576	17985
142	5594	17877
143	5626	17817
144	5644	17711
145	5682	17670
146	5701	17570
147	5742	17537
148	5766	17454
149	5803	17410
150	5847	17389
151	5887	17351
152	5923	17306
153	5962	17267
154	6006	17244
155	6040	17193
156	6083	17164
157	6134	17160
158	6167	17107
159	6204	17062
160	6254	17054
161	6278	16974
162	6317	16936
163	6354	16892
164	6392	16853
165	6423	16794
166	6464	16761
167	6505	16727
168	6547	16698
169	6602	16701
170	6643	16667
171	6686	16638
172	6728	16606
173	6769	16573
174	6817	16557
175	6849	16500
176	6887	16460
177	6934	16440
178	6974	16403
179	6996	16324
180	7038	16293
181	7074	16247
182	7107	16194
183	7151	16168
184	7203	16160
185	7249	16136
186	7287	16094
187	7328	16059
188	7365	16017
189	7404	15977
190	7423	15896
191	7443	15818
192	7481	15777
193	7516	15731
194	7552	15686
